['A', '100', '5', '0.01', '50', '5'] repeat 10 times
5.5391	[20, 17, 12, 18, 26, 29, 25, 14, 13, 1, 4, 22, 11, 19, 7, 24, 21, 6, 2, 27, 9, 15, 28, 8, 3, 10, 23, 0, 5, 16]	51
5.1694	[12, 20, 17, 0, 28, 19, 9, 27, 2, 21, 6, 3, 11, 4, 29, 26, 25, 14, 13, 1, 22, 10, 23, 8, 24, 7, 15, 5, 16, 18]	53
6.4586	[21, 5, 18, 12, 16, 4, 1, 11, 22, 3, 8, 7, 24, 27, 9, 2, 6, 19, 0, 26, 29, 25, 13, 14, 17, 20, 28, 23, 10, 15]	46
7.0246	[27, 9, 7, 19, 11, 1, 24, 15, 6, 21, 22, 25, 26, 29, 14, 13, 4, 0, 20, 12, 18, 16, 10, 28, 5, 17, 23, 3, 8, 2]	40
5.4740	[8, 19, 15, 24, 7, 21, 2, 9, 27, 6, 3, 10, 4, 26, 29, 0, 16, 20, 17, 12, 18, 5, 28, 23, 22, 13, 25, 14, 1, 11]	60
5.4644	[1, 13, 14, 4, 0, 20, 17, 29, 26, 25, 19, 5, 18, 12, 16, 28, 23, 10, 22, 3, 8, 24, 2, 6, 15, 7, 27, 9, 21, 11]	65
5.5172	[6, 2, 21, 7, 15, 8, 10, 4, 29, 26, 25, 14, 13, 1, 22, 3, 23, 19, 28, 20, 17, 18, 12, 5, 16, 0, 11, 27, 9, 24]	80
5.3100	[11, 1, 13, 14, 29, 26, 25, 4, 23, 3, 10, 22, 6, 2, 21, 27, 9, 8, 19, 0, 20, 17, 5, 18, 12, 16, 28, 15, 7, 24]	72
# seems to me even given more time, the result was not improved.
# is it because of the tournament mechanism? Or should I turn up the mutation rate first?

['B', '100', '3', '0.1', '100', '10'] repeat 10 times
4.7031	[5, 21, 24, 27, 9, 2, 6, 11, 22, 23, 28, 15, 7, 19, 8, 3, 10, 4, 14, 1, 13, 25, 26, 29, 0, 20, 17, 12, 18, 16]	64
4.9073	[20, 17, 18, 12, 16, 5, 28, 23, 0, 4, 3, 8, 19, 15, 7, 24, 21, 9, 27, 2, 6, 11, 22, 10, 1, 13, 14, 25, 26, 29]	71
5.5972	[12, 18, 16, 5, 28, 23, 4, 14, 0, 17, 20, 3, 8, 6, 2, 9, 27, 21, 24, 15, 7, 19, 10, 22, 11, 1, 13, 25, 29, 26]	72
5.3762	[0, 3, 28, 19, 8, 27, 9, 2, 11, 22, 1, 13, 14, 25, 4, 23, 10, 6, 21, 24, 7, 15, 5, 16, 12, 18, 17, 20, 29, 26]	80
5.3099	[5, 18, 12, 17, 20, 0, 26, 29, 25, 28, 19, 6, 21, 9, 27, 24, 15, 7, 2, 11, 8, 23, 3, 10, 22, 1, 13, 14, 4, 16]	63
4.8160	[5, 16, 18, 12, 17, 20, 29, 26, 25, 13, 1, 14, 4, 0, 23, 28, 2, 21, 24, 7, 15, 19, 8, 3, 10, 22, 11, 6, 9, 27]	69
4.9674	[20, 18, 12, 17, 16, 5, 8, 22, 11, 6, 2, 21, 27, 9, 24, 15, 7, 19, 28, 23, 3, 10, 4, 14, 1, 13, 25, 26, 29, 0]	92
5.0914	[23, 0, 29, 26, 25, 13, 1, 14, 4, 6, 9, 27, 15, 7, 24, 21, 2, 11, 22, 10, 3, 8, 5, 16, 18, 12, 17, 20, 28, 19]	89
4.6569	[11, 6, 24, 7, 21, 2, 9, 27, 15, 8, 19, 23, 4, 22, 10, 3, 28, 16, 5, 18, 12, 17, 20, 0, 29, 26, 25, 14, 13, 1]	100
5.7334	[12, 18, 5, 19, 15, 7, 6, 2, 21, 9, 27, 24, 8, 3, 10, 22, 11, 1, 23, 4, 14, 13, 25, 0, 20, 17, 29, 26, 28, 16]	76
# Wow, it works. The 9th try is worth noticing. one good solution appeared but later was overwhelmed by other ordinary peers.
# Does that mean I should add elitism mechanism into the algorithm, or that I should mutate more?
# I will take the easier try first:)

['B', '100', '3', '0.2', '100', '10'] repeat 10 times
5.0374	[5, 16, 18, 12, 17, 20, 0, 23, 10, 22, 4, 26, 29, 25, 14, 13, 1, 3, 28, 19, 8, 11, 24, 15, 7, 21, 6, 2, 27, 9]	71
5.6848	[19, 28, 5, 18, 12, 17, 20, 3, 10, 11, 22, 23, 4, 25, 1, 13, 14, 26, 29, 0, 16, 6, 8, 15, 7, 24, 27, 9, 2, 21]	53
7.0303	[0, 17, 20, 22, 2, 11, 19, 24, 9, 21, 7, 6, 27, 15, 8, 1, 13, 25, 4, 14, 29, 26, 28, 3, 10, 23, 16, 12, 18, 5]	29
4.5837	[21, 6, 2, 7, 15, 19, 23, 28, 5, 16, 18, 12, 17, 20, 0, 26, 29, 25, 14, 4, 13, 1, 11, 22, 10, 3, 8, 24, 9, 27]	96
5.0320	[14, 4, 23, 3, 8, 6, 24, 15, 0, 20, 17, 12, 18, 5, 16, 28, 19, 7, 27, 9, 21, 2, 11, 22, 10, 1, 13, 25, 29, 26]	91
6.5061	[13, 29, 26, 14, 25, 23, 5, 18, 12, 16, 28, 7, 2, 21, 8, 24, 27, 9, 22, 10, 19, 15, 6, 11, 3, 0, 17, 20, 4, 1]	32
4.8769	[9, 27, 8, 3, 23, 28, 19, 15, 7, 24, 21, 2, 6, 11, 10, 22, 1, 13, 14, 25, 26, 29, 4, 0, 20, 17, 16, 12, 18, 5]	80
4.5597	[16, 18, 12, 17, 20, 0, 29, 26, 25, 13, 1, 14, 4, 23, 3, 10, 22, 11, 2, 6, 8, 19, 28, 7, 9, 27, 21, 24, 15, 5]	80
6.3479	[20, 17, 18, 12, 5, 16, 8, 10, 22, 27, 9, 24, 21, 19, 15, 7, 3, 11, 6, 2, 28, 14, 13, 29, 26, 25, 4, 1, 23, 0]	42
6.5306	[3, 10, 2, 9, 27, 7, 15, 8, 5, 16, 20, 0, 23, 19, 11, 1, 14, 13, 26, 29, 25, 4, 22, 6, 21, 24, 12, 17, 18, 28]	41
# Ah, unstable! Ups and downs are every where in their curves!
# I think elitism + high mutation must work well, yet I choose to enlarge population size first
# Maybe 100 individuals are just not enough for a 30 cities' TSP?

['B', '500', '3', '0.2', '100', '10'] repeat 10 times
6.2148	[2, 6, 27, 9, 21, 7, 15, 19, 20, 0, 4, 29, 26, 25, 1, 13, 14, 11, 22, 24, 8, 10, 28, 23, 18, 12, 17, 16, 5, 3]	39
4.5316	[0, 20, 17, 12, 18, 5, 16, 28, 19, 15, 7, 24, 21, 27, 9, 2, 6, 11, 22, 10, 3, 8, 23, 4, 29, 26, 25, 13, 1, 14]	100
4.3505	[1, 22, 11, 6, 2, 27, 9, 21, 24, 7, 15, 19, 8, 3, 10, 23, 28, 16, 5, 18, 12, 17, 20, 0, 4, 29, 26, 25, 14, 13]	100
4.3763	[27, 9, 2, 6, 21, 24, 7, 15, 8, 19, 28, 23, 3, 10, 11, 22, 4, 14, 13, 1, 25, 26, 29, 0, 20, 17, 12, 18, 16, 5]	86
4.3166	[4, 22, 11, 6, 2, 21, 9, 27, 24, 7, 15, 19, 8, 3, 10, 23, 28, 16, 5, 18, 12, 17, 20, 0, 29, 26, 25, 13, 1, 14]	80
4.3225	[15, 7, 24, 21, 27, 9, 2, 6, 8, 19, 28, 23, 3, 10, 22, 11, 1, 13, 14, 25, 26, 29, 4, 0, 20, 17, 12, 18, 16, 5]	77
4.4174	[11, 6, 2, 27, 9, 21, 24, 7, 15, 19, 8, 22, 10, 3, 23, 28, 16, 5, 18, 12, 17, 20, 0, 4, 29, 26, 25, 14, 13, 1]	83
4.3102	[5, 16, 18, 12, 17, 20, 0, 4, 29, 26, 25, 14, 13, 1, 11, 22, 10, 3, 23, 28, 19, 8, 15, 7, 24, 21, 6, 2, 9, 27]	73
4.3130	[0, 20, 17, 12, 18, 5, 16, 28, 19, 15, 7, 24, 21, 27, 9, 2, 6, 8, 3, 23, 10, 22, 11, 1, 13, 14, 4, 25, 26, 29]	94
4.6449	[27, 9, 21, 2, 6, 24, 7, 15, 19, 8, 11, 22, 10, 3, 23, 28, 0, 4, 14, 1, 13, 25, 26, 29, 20, 17, 12, 18, 16, 5]	78
# Wow, population size helps a lot! But those curve look dreadful.
# I am thinking should I change the tournament size back to 5? The larger that size, the more opportunity good individuals can get.
# Yes I am just too lazy and don't want to add the elitism part.
# Finally I change it to 10.


['B', '500', '10', '0.2', '100', '10'] repeat 10 times
4.5434	[11, 22, 23, 0, 20, 17, 12, 18, 5, 16, 28, 19, 8, 15, 7, 24, 21, 27, 9, 2, 6, 3, 10, 4, 29, 26, 25, 14, 13, 1]	42
4.3260	[14, 1, 13, 25, 26, 29, 0, 20, 17, 12, 18, 16, 5, 28, 19, 15, 7, 24, 27, 9, 21, 2, 6, 8, 11, 22, 10, 3, 23, 4]	44
4.6750	[29, 26, 25, 14, 13, 1, 10, 3, 8, 21, 24, 7, 15, 19, 28, 23, 0, 20, 17, 12, 18, 16, 5, 27, 9, 2, 6, 11, 22, 4]	59
4.6214	[7, 24, 21, 27, 9, 2, 6, 8, 3, 10, 23, 4, 29, 26, 25, 14, 13, 1, 11, 22, 19, 28, 0, 20, 17, 12, 18, 16, 5, 15]	45
4.3677	[7, 8, 11, 22, 10, 3, 23, 4, 14, 1, 13, 25, 26, 29, 0, 20, 17, 12, 18, 5, 16, 28, 19, 15, 27, 9, 2, 6, 21, 24]	51
4.7352	[1, 13, 14, 25, 26, 29, 4, 22, 10, 3, 23, 28, 16, 5, 18, 12, 17, 20, 0, 19, 15, 27, 9, 21, 2, 6, 24, 7, 8, 11]	49
5.0266	[29, 26, 25, 4, 10, 22, 11, 1, 13, 14, 0, 20, 17, 12, 18, 16, 5, 21, 6, 2, 9, 27, 24, 7, 15, 28, 19, 8, 3, 23]	36
4.4823	[6, 8, 22, 11, 1, 13, 14, 25, 26, 29, 4, 10, 3, 23, 0, 20, 17, 12, 18, 5, 16, 28, 19, 15, 7, 24, 21, 27, 9, 2]	56
4.5646	[24, 7, 15, 8, 19, 3, 23, 28, 16, 5, 18, 12, 17, 20, 0, 14, 1, 13, 25, 26, 29, 4, 10, 22, 11, 6, 2, 9, 27, 21]	43
4.5926	[25, 14, 13, 1, 11, 24, 7, 15, 19, 8, 21, 27, 9, 2, 6, 22, 10, 3, 23, 28, 16, 5, 18, 12, 17, 20, 0, 4, 29, 26]	52
# The convergence happens very quickly, and the curves are much smoother.
# But this parameter fails to explore the optimum solution.

